pincode,place,state,somethingelse,lat,lng
679325,Mannarmala,Malappuram,Perinthalmanna,11.0075,76.2528
679325,Valambur,Malappuram,Perintalmanna,11.0081,76.2111
679325,Pattikkad,Malappuram,Perintalmanna,11.0201,76.2356
679325,Chemmaniyode,Malappuram,Perinthalmanna,11.0222,76.2378
679324,Mankada,Malappuram,Perintalmanna,11.0139,76.1854
679325,Poonthavanam,Malappuram,Perinthalmanna,11.0222,76.2378
679325,Thachinganadam,Malappuram,Perintalmanna,11.0222,76.2378
679326,Edayattur,Malappuram,Perinthalmanna,11.0744,76.238
679325,Thelakkad,Malappuram,Perinthalmanna,11.0222,76.2378
679326,Melattur,Malappuram,Perintalmanna,11.0641,76.2751
679326,Padirikode,Malappuram,Perinthalmanna,11.0692,76.2565
679325,Vengoor,Malappuram,Perinthalmanna,11.0222,76.2378
679326,Kizhakkumpadam,Malappuram,Perinthalmanna,11.0692,76.2565
679327,Tuvvur,Malappuram,Nilambur,11.1162,76.2852
679326,Edapatta,Malappuram,Perintalmanna,11.0692,76.2565
679326,Vettathur,Malappuram,Perintalmanna,11.0692,76.2565
679327,Poolamanna,Malappuram,Ernad,11.1312,76.284
679327,Vellayur,Malappuram,Nilambur,11.1462,76.2829
679327,Palakkalvetta,Malappuram,Nilambur,11.1312,76.284
679327,Chembrasseri-East,Malappuram,Ernad,11.1312,76.284
679326,Velliyanchery,Malappuram,Perinthalmanna,11.0692,76.2565
679328,Kappil,Malappuram,Nilambur,11.1321,76.1558
679327,Poongode,Malappuram,Nilambur,11.1312,76.284
679328,Naduvath,Malappuram,Nilambur,11.1934,76.224
679328,Punnappala,Malappuram,Nilambur,11.1911,76.2118
679328,Chathangottupuram,Malappuram,Nilambur,11.1934,76.224
679328,Wandoor,Malappuram,Nilambur,11.1958,76.2363
679329,Nilambur,Malappuram,Nilambur,11.2727,76.2257
679329,Eranhimangad,Malappuram,Nilambur,11.2727,76.2257
679329,Edivanna,Malappuram,Nilambur,11.2727,76.2257
679329,Chandakkunnu,Malappuram,Nilambur,11.2727,76.2257
679330,Palengara,Malappuram,Nilambur,11.303,76.2999
679330,NilamburRS,Malappuram,Nilambur,11.303,76.2999
679330,Karulai,Malappuram,Nilambur,11.303,76.2999
679329,Aurvacode,Malappuram,Nilambur,11.2727,76.2257
679330,Nallanthanni,Malappuram,Nilambur,11.303,76.2999
679331,Kunnummalpotti,Malappuram,Nilambur,11.1014,76.2443
679331,Munda,Malappuram,Nilambur,11.1014,76.2443
679331,Palemad,Malappuram,Nilambur,11.1014,76.2443
679331,Karapuram,Malappuram,Nilambur,11.1014,76.2443
679331,Moothedam,Malappuram,Nilambur,11.1014,76.2443
679331,Edakkara-nilambur,Malappuram,Nilambur,11.1014,76.2443
679331,Modapoika,Malappuram,Nilambur,11.1014,76.2443
679331,Theyyathumpadam,Malappuram,Nilambur,11.1014,76.2443
679332,Kavalamukkatta,Malappuram,Nilambur,11.2249,76.2716
679332,Pookkottumpadam,Malappuram,Nilambur,11.2249,76.2716
679332,T.K.Colony,Malappuram,Nilambur,11.2249,76.2716
679332,Amarambalam,Malappuram,Nilambur,11.2249,76.2716
679332,Mannathipoyil,Malappuram,Nilambur,11.2249,76.2716
679332,Mampattumoola,Malappuram,Nilambur,11.2249,76.2716
679332,Chokkad,Malappuram,Nilambur,11.2249,76.2716
679332,Chulliyode,Malappuram,Nilambur,11.2249,76.2716
679332,Chettippadam,Malappuram,Nilambur,11.2249,76.2716
679333,Vazhikkadavu,Malappuram,Nilambur,11.3857,76.3443
679333,Nambooripotty,Malappuram,Nilambur,11.3857,76.3443
679333,Marutha,Malappuram,Nilambur,11.3857,76.3443
679330,Ramankuth,Malappuram,Nilambur,11.303,76.2999
679333,Karakkode,Malappuram,Nilambur,11.3857,76.3443
679334,Chungathara,Malappuram,Nilambur,11.334,76.2747
679333,Kambalakallu,Malappuram,Nilambur,11.3857,76.3443
679334,Erumamunda,Malappuram,Nilambur,11.3648,76.2214
679334,Uppada,Malappuram,Nilambur,11.3826,76.257
679334,Munderi,Malappuram,Nilambur,11.4491,76.2749
679333,Manimooly,Malappuram,Nilambur,11.3857,76.3443
679334,Pallikuth,Malappuram,Nilambur,11.3826,76.257
679334,Padiripadam,Malappuram,Nilambur,11.3826,76.257
679334,Pookottumanna,Malappuram,Nilambur,11.3826,76.257
679334,Kurumbalangode,Malappuram,Nilambur,11.3826,76.257
679338,Vengad,Malappuram,Perinthalmanna,10.9189,76.1313
679334,Bhoodan Colony,Malappuram,Nilambur,11.3826,76.257
679338,Kuruvambalam,Malappuram,Perintalmanna,10.9206,76.1662
679338,Kolathur-MLP,Malappuram,Perinthalmanna,10.9369,76.1273
679338,Panga,Malappuram,Perintalmanna,10.9712,76.0844
679338,Moorkkanad,Malappuram,Perintalmanna,10.9369,76.1273
679338,Panga Chendy,Malappuram,Perinthalmanna,10.9369,76.1273
679339,Vaniyambalam,Malappuram,Nilambur,11.189,76.234
679338,Panga south,Malappuram,Perinthalmanna,10.9369,76.1273
679339,Amarambalam south,Malappuram,Nilambur,11.1733,76.2398
679339,Porur,Malappuram,Ernad,11.1576,76.2456
679334,Pathar,Malappuram,Nilambur,11.3826,76.257
679339,Vadakkumpadam,Malappuram,Nilambur,11.1733,76.2398
679338,Palachode,Malappuram,Perinthalmanna,10.9369,76.1273
679339,Karad,Malappuram,Nilambur,11.1733,76.2398
679339,Koorad,Malappuram,Nilambur,11.1733,76.2398
679340,Kunnakkavu,Malappuram,Perinthalmanna,10.9075,76.2401
679340,Eravimangalam,Malappuram,Perinthalmanna,10.9526,76.2403
679340,Palathole,Malappuram,Perinthalmanna,10.923,76.2393
679340,Elad,Malappuram,Perinthalmanna,10.891,76.2517
679340,Cherukara,Malappuram,Perintalmanna,10.9408,76.2252
679341,Talekode   west,Malappuram,Perinthalmanna,10.923,76.2393
679341,Arkkuparamba,Malappuram,Perinthalmanna,10.923,76.2393
679341,Mattarakkal,Malappuram,Perintalmanna,10.923,76.2393
679341,Talekode,Malappuram,Perintalmanna,10.923,76.2393
679357,Aliparamba,Malappuram,Perintalmanna,10.9216,76.2654
679357,Valamkulam,Malappuram,Perinthalmanna,10.9536,76.2788
679357,Anamangad,Malappuram,Perintalmanna,10.9384,76.2627
679357,Vazhenkada,Malappuram,Perinthalmanna,10.9328,76.268
679571,Kuttippuram,Malappuram,Tirur,10.8425,76.0308
679357,Thootha,Malappuram,Perinthalmanna,10.9328,76.268
679571,Pazhur,Malappuram,Tirur,10.8425,76.0308
679571,Payinkanniyur,Malappuram,Tirur,10.8425,76.0308
679357,Manalaya,Malappuram,Perinthalmanna,10.9176,76.2652
679572,Irimbiliyam,Malappuram,Tirur,10.8624,76.0922
679571,Perasannur,Malappuram,Tirur,10.8425,76.0308
679573,Trikkanapuram,Malappuram,Ponnani,10.8289,76.0163
679571,Naduvattom,Malappuram,Tirur,10.8425,76.0308
679573,Ayankalam,Malappuram,Ponnani,10.8418,75.996
679573,Athalur,Malappuram,Ponnani,10.8329,75.978
679573,Iswaramangalam,Malappuram,Ponani,11.1321,76.1558
679573,Nariparamba,Malappuram,Ponnani,11.1321,76.1558
679574,Pidavannur,Malappuram,Ponnani,10.8078,76.0432
679571,Karthala,Malappuram,Tirur,10.8425,76.0308
679574,Mookkuthala,Malappuram,Ponnani,10.8078,76.0432
679575,Nannamukku South,Malappuram,Ponnani,10.7062,76.0185
679575,Cheruvallur,Malappuram,Ponnani,10.7022,76.0069
679575,Nannamukku,Malappuram,Ponani,10.7102,76.03
679576,Sugapuram,Malappuram,Ponnani,10.7847,75.997
679576,Perumparamba,Malappuram,Ponnani,10.8012,75.9956
679576,Kololamba,Malappuram,Ponnani,10.7847,75.997
679576,Edapal,Malappuram,Ponani,10.7834,76.0079
679576,Ayilakkad,Malappuram,Ponnani,10.7694,75.9874
679577,Ponani HO,Malappuram,Ponnani,10.8078,76.0432
679576,Polpakara,Malappuram,Ponnani,10.7847,75.997
679576,Biyyam,Malappuram,Ponani,10.7847,75.997
679573,Tavanur,Malappuram,Ponani,10.8496,75.9801
679579,Gramam,Malappuram,Ponnani,10.7209,75.946
679578,Vattamkulam,Malappuram,Ponani,10.7903,76.0331
679578,Mudur,Malappuram,Ponnani,10.7903,76.0331
679579,Palapetty,Malappuram,Ponnani,10.7209,75.946
679580,Ayirur,Malappuram,Ponnani,10.6938,75.9616
679579,Veliankode,Malappuram,Ponani,10.7209,75.946
679580,Perumbadappu,Malappuram,Ponani,10.6938,75.9616
679581,Marancheri,Malappuram,Ponani,10.7405,75.971
679582,Kadancheri,Malappuram,Ponnani,10.8264,75.9909
679583,Ponani Nagaram,Malappuram,Ponnani,10.7587,75.974
679582,Kaladi-MLP,Malappuram,Ponani,10.8194,76.0064
679584,Kanhiramukku,Malappuram,Ponnani,10.7587,75.974
679584,Karukathiruthy,Malappuram,Ponani,10.7587,75.974
679585,Alankode,Malappuram,Ponani,10.7587,75.974
679579,Pazhanji-mlp,Malappuram,Ponnani,10.7209,75.946
679586,Ponani South,Malappuram,Ponnani,10.7569,75.9362
679587,Eramangalam,Malappuram,Ponnani,10.7151,75.978
679586,Kadavanad,Malappuram,Ponani,10.7569,75.9362
679591,Othalur   west,Malappuram,Ponnani,10.73,76.0608
678001,Palakkad,Palakkad,Palakkad,10.7691,76.6533
678001,Palakkad College,Palakkad,Palakkad,10.7691,76.6533
678001,Palakkad Fort,Palakkad,Palakkad,10.7691,76.6533
678003,Kalpathi,Palakkad,Palakkad,10.7902,76.6457
678001,Palakkad Collectorate,Palakkad,Palakkad,10.7691,76.6533
679584,Puranga,Malappuram,Ponnani,10.7587,75.974
678002,Olavakkot HO,Palakkad,Palakkad,10.7691,76.6533
678004,Pirayiri,Palakkad,Palakkad,10.7652,76.6318
678003,Newkalpathy,Palakkad,Palakkad,10.7902,76.6457
678004,Koduntharapully,Palakkad,Palakkad,10.7652,76.6318
678004,Nurani Agraharam,Palakkad,Palakkad,10.7652,76.6318
678004,Tirunilayi,Palakkad,Palakkad,10.7652,76.6318
678005,Kallepulli,Palakkad,Palakkad,10.7691,76.6533
678004,Nurani,Palakkad,Palakkad,10.7652,76.6318
678005,Chokkanathapuram,Palakkad,Palakkad,10.7691,76.6533
678007,Chandranagar,Palakkad,Palakkad,10.7691,76.6533
678005,Puthur-palakkad,Palakkad,Palakkad,10.7691,76.6533
678006,Pallipuram PG,Palakkad,Palakkad,10.7519,76.6824
678007,Marudarode,Palakkad,Palakkad,10.7691,76.6533
678007,Pallatheri,Palakkad,Palakkad,10.7691,76.6533
678008,Palakkad Engineering College,Palakkad,Palakkad,10.7691,76.6533
678009,Dhoni,Palakkad,Palakkad,10.7691,76.6533
678006,Kallekkad,Palakkad,Palakkad,10.7519,76.6824
678008,Akathethara,Palakkad,Palakkad,10.7691,76.6533
678010,Sekharipuram,Palakkad,Palakkad,10.7922,76.6419
678009,Kallekulangara,Palakkad,Palakkad,10.7691,76.6533
678011,Ambikapuram,Palakkad,Palakkad,10.7939,76.653
678012,Moothanthara,Palakkad,Palakkad,10.7906,76.6308
678012,Vadakanthara,Palakkad,Palakkad,10.7906,76.6308
679591,Kokkur,Malappuram,Ponnani,10.73,76.0608
678012,Kavalpad,Palakkad,Palakkad,10.7906,76.6308
678101,Kuttipallam,Palakkad,Chittur,10.699,76.8001
678013,Kunnathurmedu,Palakkad,Palakkad,10.7922,76.6419
678101,Kunnamkattupathy,Palakkad,Chittur,10.699,76.8001
678101,Chittur,Palakkad,Palakkad,10.699,76.8001
678014,PalakkadCity,Palakkad,Palakkad,10.7922,76.6419
678102,Chenthamaranagar,Palakkad,Chittur,10.6812,76.7052
678102,Tattamangalam South,Palakkad,Chittur,10.6812,76.7052
678103,Vilayodi,Palakkad,Chittur,10.6901,76.7526
678102,Tattamangalam,Palakkad,Chittur,10.6812,76.7052
678104,Chittur College,Palakkad,Palakkad,10.6901,76.7526
678103,Thekkegramam,Palakkad,Chittur,10.6901,76.7526
678101,Chittur Courts,Palakkad,Chittur,10.699,76.8001
678501,KoduvayurAgraharam,Palakkad,Chittur,10.599,76.6922
678501,Thannisseri,Palakkad,Palakkad,10.599,76.6922
678502,Ettanur,Palakkad,Chittur,10.599,76.6922
678501,Koduvayur,Palakkad,Palakkad,10.599,76.6922
678503,Pudunagaram,Palakkad,Palakkad,10.6802,76.6836
678504,Vadavannur,Palakkad,Chittur,10.599,76.6922
678503,Karippode,Palakkad,Palakkad,10.6802,76.6836
678506,Nenmeni,Palakkad,Chittur,10.6167,76.7
678505,Pallassana,Palakkad,Chittur,10.599,76.6922
678506,Anamari,Palakkad,Chittur,10.6167,76.7
678502,Mannalur,Palakkad,Palakkad,10.599,76.6922
678506,Kollengode R S,Palakkad,Chittur,10.6167,76.7
678506,Panangattiri,Palakkad,Chittur,10.6167,76.7
678506,Alampallam,Palakkad,Chittur,10.6167,76.7
678506,Vattekkad,Palakkad,Chittur,10.6167,76.7
678502,Vemballur,Palakkad,Alatur,10.599,76.6922
678506,Kollengode west,Palakkad,Chittur,10.6167,76.7
678506,Payyalur,Palakkad,Chittur,10.6167,76.7
678507,Muthalamada,Palakkad,Chittur,10.6211,76.781
678507,Meenkara Dam,Palakkad,Chittur,10.6211,76.781
678507,Govindapuram,Palakkad,Alathur,10.6211,76.781
678508,Vallanghy,Palakkad,Chittur,10.5384,76.6482
678508,Chandramala Estate,Palakkad,Chittur,10.5384,76.6482
678506,Kollengode,Palakkad,Chittur,10.6167,76.7
678508,Nelliampathy,Palakkad,Chittur,10.5384,76.6482
678508,Kizhakkumuri,Palakkad,Chittur,10.5384,76.6482
678508,Nemmara College,Palakkad,Chittur,10.5384,76.6482
678508,Chathamangalam,Palakkad,Chittur,10.5384,76.6482
678508,Nemmara,Palakkad,Chittur,10.5936,76.5964
678508,Pothundy Dam,Palakkad,Chittur,10.5384,76.6482
678508,Nemmara Old Village,Palakkad,Chittur,10.5384,76.6482
678508,Kanimangalam,Palakkad,Chittur,10.5384,76.6482
678508,Padagiri,Palakkad,Chittur,10.4833,76.7
678508,Sitharkunda,Palakkad,Chittur,10.5384,76.6482
678510,Thiruvaliad,Palakkad,Alatur,10.5503,76.5772
678508,Elavancheri,Palakkad,Chittur,10.5384,76.6482
678510,Kairady,Palakkad,Alatur,10.5503,76.5772
678512,Kakkayur,Palakkad,Chittur,10.658,76.6409
678531,Peruvemba,Palakkad,Palakkad,10.699,76.6849
678532,Karippali,Palakkad,Chittur,10.6686,76.744
678532,Pattancheri,Palakkad,Palakkad,10.6686,76.744
678533,Meenakshipuram,Palakkad,Chittur,10.6686,76.744
678534,Kannimari,Palakkad,Chittur,10.6479,76.8046
678534,Vandithavalam,Palakkad,Chittur,10.659,76.7426
678541,Alathur Mbr HO,Palakkad,Alathur,10.6633,76.4786
678510,Ayalur,Palakkad,Chittur,10.5503,76.5772
678542,Kattusseri,Palakkad,Alatur,10.6633,76.4786
678542,Perinkulam,Palakkad,Alathur,10.6633,76.4786
678543,Kavasseri,Palakkad,Alathur,10.6568,76.4882
678543,Vavulliapuram,Palakkad,Alathur,10.6568,76.4882
678543,Padur-Kavasseri,Palakkad,Alathur,10.6568,76.4882
678544,Tarur,Palakkad,Alathur,10.6699,76.4689
678534,Nanniode,Palakkad,Chittur,10.6534,76.7736
678544,Athipotta,Palakkad,Alathur,10.6699,76.4689
678545,Pullode,Palakkad,Alathur,10.6633,76.4786
678544,Palampalakode,Palakkad,Alathur,10.6699,76.4689
678545,Pudiyankam,Palakkad,Alathur,10.6633,76.4786
678543,Kazhani,Palakkad,Alathur,10.6568,76.4882
678546,Erimayur,Palakkad,Alathur,10.6633,76.4786
678551,Olasseri,Palakkad,Palakkad,10.8329,76.4992
678551,Karingarapully,Palakkad,Palakkad,10.8329,76.4992
678551,Kotambu,Palakkad,Palakkad,10.8329,76.4992
678551,Thiruvalathur,Palakkad,Palakkad,10.8329,76.4992
678553,Nallepilly,Palakkad,Chittur,10.8329,76.4992
678552,Polpulli,Palakkad,Palakkad,10.7948,76.3143
678553,Thekkedesam,Palakkad,Chittur,10.8329,76.4992
678552,Verkoli,Palakkad,Chittur,10.7948,76.3143
678552,Panayur,Palakkad,Palakkad,10.7948,76.3143
678555,Palaniyarpalayam,Palakkad,Chittur,10.7378,76.8363
678554,Athicode,Palakkad,Chittur,10.9661,76.347
678555,Rvp Pudur,Palakkad,Chittur,10.7378,76.8363
678555,Vannamada,Palakkad,Palakkad,10.7378,76.8363
678555,Kozhinjampara,Palakkad,Palakkad,10.7378,76.8363
678556,Menonpara,Palakkad,Palakkad,10.8329,76.4992
678555,Eruttenpadi,Palakkad,Chittur,10.7378,76.8363
678556,Attempathy,Palakkad,Chittur,10.8329,76.4992
678556,Parassikkal,Palakkad,Chittur,10.8329,76.4992
678556,Eduppukulam,Palakkad,Palakkad,10.8329,76.4992
678554,Nattukal,Palakkad,Chittur,10.9661,76.347
678557,Olalapadi,Palakkad,Chittur,10.8329,76.4992
678571,Pallanchathanur,Palakkad,Alathur,10.7085,76.4722
678557,Velanthavalam,Palakkad,Chittur,10.8329,76.4992
678571,MathurAgraharam,Palakkad,Alathur,10.7085,76.4722
678571,Thachangad,Palakkad,Alatur,10.7085,76.4722
678571,MathurPG,Palakkad,Alathur,10.7085,76.4722
678572,Varode-kottayi,Palakkad,Alathur,10.7085,76.4722
678557,Kozhipara,Palakkad,Chittur,10.8329,76.4992
678572,Kariyamkode,Palakkad,Alathur,10.7085,76.4722
678572,Pulinelly,Palakkad,Alathur,10.7085,76.4722
678572,Cherukulam,Palakkad,Alathur,10.7085,76.4722
678573,Paruthipulli,Palakkad,Alathur,10.7085,76.4722
678574,Chulanur,Palakkad,Alathur,10.7085,76.4722
678573,Chennangad,Palakkad,Alathur,10.7085,76.4722
678574,Peringottukurussi,Palakkad,Alathur,10.7085,76.4722
678574,Naduvathupara,Palakkad,Alathur,10.7085,76.4722
678581,Agali,Palakkad,Mannarkad,11.1021,76.6507
678581,Chittur,Palakkad,Mannarkad,10.6687,76.7696
678572,Kottayi,Palakkad,Alathur,10.7085,76.4722
678581,Kottathara,Palakkad,Mannarkad,10.6687,76.7696
678581,Jellipara,Palakkad,Mannarkkad,10.6687,76.7696
678581,Karara,Palakkad,Mannarkad,10.7946,76.5586
678581,Chavadiyur,Palakkad,Mannarkad,11.1651,76.6733
678581,Mattathukad,Palakkad,Mannarkkad,10.6687,76.7696
678582,Tenkara,Palakkad,Mannarkkad,11.0071,76.4959
678581,Kavundikkal,Palakkad,Mannarkad,10.6687,76.7696
678582,Chindaki,Palakkad,Mannarkad,11.0903,76.5269
678582,Mannarkkad,Palakkad,Mannarkkad,10.4755,76.4598
678582,Thavalam,Palakkad,Mannarkad,10.7946,76.5586
678581,Pudur,Palakkad,Mannarkad,10.6687,76.7696
678582,Mukkali,Palakkad,Mannarkad,10.7946,76.5586
678582,Kalkandi,Palakkad,Mannarkad,10.4755,76.4598
678582,Kallamala,Palakkad,Mannarkad,10.7946,76.5586
678582,Pullisseri,Palakkad,Mannarkad,10.4755,76.4598
678582,Paloor,Palakkad,Mannarkkad,10.4755,76.4598
678582,Pallikurup,Palakkad,Mannarkad,10.4755,76.4598
678583,Kumaramputhur,Palakkad,Mannarkkad,10.9642,76.4404
678583,Nattukal,Palakkad,Mannarkad,10.9661,76.347
678581,Sholayur-PKD,Palakkad,NA,10.6687,76.7696
678583,Ariyur,Palakkad,Mannarkad,10.9759,76.4022
678583,Kandamangalam,Palakkad,Mannarkkad,11.0216,76.4223
678583,Kodakkad,Palakkad,Mannarkkad,11.1388,76.2347
678583,Chethallur,Palakkad,Mannarkad,11.1388,76.2347
678583,Pallikunnu,Palakkad,Mannarkad,10.7946,76.5586
678583,MannarkadCollege,Palakkad,Mannarkad,11.1388,76.2347
678583,Kundurkunnu,Palakkad,Mannarkkad,11.1388,76.2347
678583,Payyanadam,Palakkad,Mannarkad,11.0154,76.4396
678583,Kottopadam,Palakkad,Ottappalam,11.1388,76.2347
678591,Kanhirapuzha Dam,Palakkad,Mannarkad,10.4245,76.5276
678582,Kaithachira,Palakkad,NA,10.4755,76.4598
678591,Kanhirapuzha,Palakkad,Mannarkad,10.4245,76.5276
678591,Irimbakachola,Palakkad,Mannarkad,10.4245,76.5276
678592,Pudanur,Palakkad,Palakkad,9.921,76.5756
678583,Palode,Palakkad,Mannarkad,11.1388,76.2347
678592,Mundur,Palakkad,Palakkad,10.8374,76.5759
678592,Nochupulli,Palakkad,Palakkad,9.921,76.5756
678591,Palakayam,Palakkad,Mannarkkad,10.4245,76.5276
678592,Velikkad,Palakkad,Palakkad,10.7946,76.5586
678593,Tachampara,Palakkad,Mannarkad,10.4245,76.5276
678593,Thrikallur,Palakkad,Mannarkad,10.4245,76.5276
678593,Viyyakurissi,Palakkad,NA,10.4245,76.5276
678593,Mudukurissi,Palakkad,Ottapalam,10.4245,76.5276
678594,Muttikulangara,Palakkad,Palakkad,10.4245,76.5276
678595,Vakkadapuram,Palakkad,NA,10.9328,76.44
678592,Nambullipura,Palakkad,Palakkad,9.921,76.5756
678595,Pombra,Palakkad,Ottappalam,10.9328,76.44
678594,Vallikkode,Palakkad,Palakkad,10.4245,76.5276
678595,Vazhumbram,Palakkad,NA,10.9328,76.44
678595,Elambulasseri,Palakkad,Ottappalam,10.9328,76.44
678596,Kanhikulam,Palakkad,Palakkad,10.4245,76.5276
678596,Kalladikode,Palakkad,Mannarkkad,10.4245,76.5276
678597,Moonnekkar,Palakkad,Ottapalam,10.9231,76.5189
678597,Karimba,Palakkad,Mannarkad,10.9231,76.5189
678595,Karakurissi,Palakkad,Mannarkad,10.9328,76.44
678598,Pottasseri,Palakkad,Mannarkad,10.4245,76.5276
678601,Bhimanad,Palakkad,Mannarkad,10.9931,76.3767
678601,Alanallur,Palakkad,Mannarkad,11.0094,76.3474
678601,Karkitamkunnu,Palakkad,Mannarkad,10.5507,76.5154
678601,Kacheriparamba,Palakkad,Mannarkad,10.5507,76.5154
678601,Uppukulam,Palakkad,Mannarkad,10.7946,76.5586
678601,Tiruvalamkunnu,Palakkad,NA,10.5507,76.5154
678598,Poonchola,Palakkad,Mannarkad,10.4245,76.5276
678601,Edathanttukara,Palakkad,Mannarkad,10.5507,76.5154
678611,Chandrasekharapuram,Palakkad,Palakkad,10.7829,76.5761
678612,Tenur,Palakkad,Palakkad,10.8033,76.5357
678601,Vattamannapuram,Palakkad,NA,10.5507,76.5154
678611,Edathara,Palakkad,Palakkad,10.7829,76.5761
678612,Kinavallur,Palakkad,Palakkad,10.8096,76.5563
678613,Kallur-palakkad,Palakkad,Palakkad,10.8113,76.514
678612,Parli PG,Palakkad,Palakkad,10.8064,76.546
678613,Mankarai,Palakkad,Palakkad,10.7848,76.5036
678621,Kanjikode,Palakkad,Palakkad,10.7555,76.7709
678613,Mankarai R.S,Palakkad,Palakkad,10.798,76.5088
678621,Kanjikode Ind Estate,Palakkad,Palakkad,10.7555,76.7709
678622,Vengodi,Palakkad,Palakkad,10.7627,76.7453
678621,Pampampallam,Palakkad,Palakkad,10.7555,76.7709
678622,Elapulli south,Palakkad,Palakkad,10.7555,76.7709
678622,Tenari,Palakkad,Palakkad,10.7487,76.7709
678613,Mankurussi,Palakkad,Palakkad,10.798,76.5088
678622,Ramasseri,Palakkad,Palakkad,10.7555,76.7709
678622,Erattakulam,Palakkad,Chittur,10.7551,76.7965
678623,Kanjikode   west,Palakkad,Palakkad,10.7555,76.7709
678624,Chandrapuram,Palakkad,Palakkad,10.7555,76.7709
678631,Cheraya,Palakkad,Palakkad,10.8711,76.5096
678622,Elapulli,Palakkad,Palakkad,10.7555,76.7709
678631,Manikkasseri,Palakkad,Palakkad,10.8619,76.5162
678631,Kongad,Palakkad,Palakkad,10.8528,76.5229
678631,Elakkad,Palakkad,Palakkad,10.8619,76.5162
678631,Parasseri,Palakkad,Palakkad,10.8619,76.5162
678624,Walayar Dam,Palakkad,Palakkad,10.7555,76.7709
678632,Pulappatta,Palakkad,Ottappalam,10.8952,76.4943
678632,Konikazhi,Palakkad,Ottappalam,10.8975,76.4927
678633,Azhiyannur,Palakkad,Ottapalam,10.8803,76.4717
678633,Punchapadam,Palakkad,Ottappalam,10.63,76.3976
678631,Mucheeri,Palakkad,Palakkad,10.8619,76.5162
678633,Mannampatta,Palakkad,Ottappalam,10.9079,76.4301
678633,Katambazhipuram,Palakkad,Ottappalam,10.63,76.3976
678633,Kulakkattukurissi,Palakkad,Ottapalam,10.63,76.3976
678633,Vettakara,Palakkad,Ottappalam,10.63,76.3976
678633,Kunduvampadam,Palakkad,Palakkad,10.63,76.3976
678632,Ummanazhi,Palakkad,NA,10.8997,76.4911
678633,Alangad,Palakkad,Ottappalam,10.7946,76.5586
678641,Kundalasseri,Palakkad,Palakkad,10.8296,76.498
678641,Tadukkasseri,Palakkad,Palakkad,10.8296,76.498
678642,Mannur,Palakkad,Palakkad,10.804,76.4652
678642,Mannur west,Palakkad,Palakkad,10.804,76.4652
678642,Kilakkumbram,Palakkad,Palakkad,10.804,76.4652
678642,Nagaripuram,Palakkad,Palakkad,10.804,76.4652
678651,Malampuzha Dam,Palakkad,Palakkad,10.8107,76.6634
678641,Keralasseri,Palakkad,Palakkad,10.8296,76.498
