no,District,place,
155,Alappuzha,Thaikkattussery,
156,Alappuzha,Thamarakkulam,
157,Alappuzha,Thanneermukkam,
158,Alappuzha,Thazhakkara,
159,Alappuzha,Thrikkunnapuzha,
160,Alappuzha,Thripparuthura,
161,Alappuzha,Thuravoor,
162,Alappuzha,Vallikkunnam,
163,Alappuzha,Vayalar,
,,,
164,Ernakulam,Kochi ©,
,,,
,,,
,,,
165,Ernakulam,Alangad,
166,Ernakulam,Aluva (M),
167,Ernakulam,Chellanam,
168,Ernakulam,Chengamanad,
169,Ernakulam,Chennamangalam,
170,Ernakulam,Cheranalloor,
171,Ernakulam,Chittattukara,
172,Ernakulam,Choornikkara,
173,Ernakulam,Edathala,
174,Ernakulam,Elankunnapuzha,
175,Ernakulam,Eloor,
176,Ernakulam,Ezhikkara,
177,Ernakulam,Kadungalloor,
178,Ernakulam,Kalady,
179,Ernakulam,Kalamassery (M),
180,Ernakulam,Kanjoor,
181,Ernakulam,Karumalloor,
182,Ernakulam,Kavalangad,
183,Ernakulam,Keezhumad,
184,Ernakulam,Kottuvally,
185,Ernakulam,Kumbalangi,
186,Ernakulam,Kuttampuzha,
187,Ernakulam,Kuzhupilly,
188,Ernakulam,Malayattoor-Neeleswaram,
189,Ernakulam,Manjapra,
190,Ernakulam,Maradu (M),
191,Ernakulam,Moovattupuzha (M),
192,Ernakulam,Mulanthuruthy,
193,Ernakulam,Mulavukad,
194,Ernakulam,Nedumbassery,
195,Ernakulam,Nellikuzhy,
196,Ernakulam,Paingottur,
197,Ernakulam,Pallarimangalam,
198,Ernakulam,North Paravoor (M),
199,Ernakulam,Piravam (M),
200,Ernakulam,Rayamangalam,
201,Ernakulam,Sreemoolanagaram,
202,Ernakulam,Thiruvaniyoor,
203,Ernakulam,Thrikkakkara (M),
,,,
204,Ernakulam,Thuravur,
,,,
205,Ernakulam,Tripunithura (M),
,,,
206,Ernakulam,Vadakkekkara,
207,Ernakulam,Varappuzha,
208,Ernakulam,Vazhakkulam,
209,Palakkad,Koppam,
210,Palakkad,Elappully,
211,Palakkad,Thiruvegappura,
212,Palakkad,Vaniyamkulam,
213,Palakkad,Kozhinjampara,
214,Palakkad,Thrithala,
215,Palakkad,Shornur,
,,,
216,Palakkad,Kulukkallur,
217,Palakkad,Nellaya,
218,Palakkad,Vallappuzha,
219,Palakkad,Alanalloor,
220,Palakkad,Ongallur,
221,Palakkad,Karakkurissi,
222,Palakkad,Kanjirappuzha,
223,Palakkad,Peringottukurissi,
224,Palakkad,Kumaramputhur,
225,Palakkad,Peruvemb,
226,Palakkad,Thengara,
227,Palakkad,Nenmara,
228,Palakkad,Pattambi (M),
229,Palakkad,Ottappalam (M),
230,Palakkad,Muthuthala,
231,Palakkad,Vilayoor,
232,Palakkad,Paruthoor,
233,Palakkad,Pattithara,
234,Palakkad,Kappoor,
235,Palakkad,Anakkara,
236,Palakkad,Chalissery,
237,Palakkad,Nagalassery,
238,Palakkad,Thirumittikkode,
239,Palakkad,Marutharoad,
240,Palakkad,Koduvayoor,
241,Palakkad,Puthussery,
242,Palakkad,Pattanchery,
243,Palakkad,Kottoppadam,
244,Palakkad,Karimba,
245,Thrissur,Mooriyad,
,,,
246,Thrissur,Iringalakkuda (M),
247,Thrissur,Velukkara,
248,Thrissur,Aloor,
249,Thrissur,Thannyam,
250,Thrissur,Kadavalloor,
251,Thrissur,Karalam,
252,Thrissur,Thrissur ©,
253,Thrissur,Thrikkoor,
254,Thrissur,Poomangalam,
255,Thrissur,Varavoor,
256,Thrissur,Choondal,
257,Thrissur,Mattathur,
258,Thrissur,Erumappetty,
259,Thrissur,Porkkulam,
260,Thrissur,Chelakkara,
261,Thrissur,Alagappanagar,
262,Thrissur,Puthanchira,
263,Thrissur,Varantharappally,
264,Thrissur,Deshamangalam,
265,Thrissur,Mala,
266,Thrissur,Kodassery,
267,Thrissur,Mathilakam,
268,Thrissur,Thiruvillwamala,
269,Thrissur,Padiyur,
270,Thrissur,Kodakara,
271,Thrissur,Pavaratty,
272,Thrissur,Madakkathara,
273,Thrissur,Puthur,
274,Thrissur,Kodungalloor (M),
275,Thrissur,Nenmanikkara,
276,Thrissur,Parappookkara,
277,Thrissur,Vadakkanchery (M),
278,Thrissur,Edavilang,
279,Thrissur,Vallachira,
280,Thrissur,Cherpp,
281,Thrissur,Sreenarayanapuram,
282,Thrissur,Venkidang,
283,Thrissur,Perinjanam,
284,Thrissur,Avinissery,
285,Thrissur,Eriyad,
286,Thrissur,Chalakkudy (M),
287,Thrissur,Valappad,
288,Thrissur,Edathuruthy,
289,Thrissur,Kaypamangalam,
290,Thrissur,Mala,
,,,
291,Thrissur,Kadappuram,
292,Thrissur,Kadukutty,
293,Thrissur,Kattakambal,
,,,
294,Kozhikkode,Kozhikkode ©,
,,,
295,Kozhikkode,Nadapuram,
296,Kozhikkode,Tuneri,
297,Kozhikkode,Vadakara (M),
298,Kozhikkode,Villiappally,
299,Kozhikkode,Perambra,
300,Kozhikkode,Changaroth,
301,Kozhikkode,Ayanchery,
302,Kozhikkode,Kunnamangalam,
303,Kozhikkode,Puthuppadi,
304,Kozhikkode,Omassery,
305,Kozhikkode,Olavanna,
306,Kozhikkode,Eramala,
307,Kozhikkode,Azhiyur,
308,Kozhikkode,Edachery,
309,Kozhikkode,Koyilandi (M),
310,Kozhikkode,Chekyad,
311,Kozhikkode,Chengottukavu,
312,Kozhikkode,Chorod,
313,Kozhikkode,Purameri,
314,Kozhikkode,Perumanna,
315,Kozhikkode,Peruvayal,
316,Kozhikkode,Maniyoor,
317,Kozhikkode,Moodadi,
318,Kozhikkode,Valayam,
319,Kozhikkode,Vaanimel,
320,Kozhikkode,Velam,
321,Kozhikkode,Chelannur,
322,Kozhikkode,Thiruvalloor,
323,Kozhikkode,Thamarassery,
324,Kozhikkode,Mukkom,
325,Kozhikkode,Kodiyathur,
326,Kozhikkode,Mavoor,
327,Kozhikkode,Kakkodi,
328,Kozhikkode,Kakkoor,
329,Kozhikkode,Onchiyam,
330,Kozhikkode,Meppayoor,
331,Kozhikkode,Kodanchery,
332,Kozhikkode,Ramanattukara (M),
333,Kozhikkode,Unnikulam,
,,,
334,Kozhikkode,Kayakkodi,
335,Kozhikkode,Thikkodi,
336,Kozhikkode,Payyoli (M),
337,Kozhikkode,Kadalundi,
338,Kozhikkode,Maruthongara,
339,Kozhikkode,Puthuppady,
340,Kozhikkode,Chathamangalam,
341,Kozhikkode,Kunnummal,
342,Kozhikkode,Faroke (M),
343,Kozhikkode,Cheruvannur,
344,Kozhikkode,Kuttiyadi,
345,Thiruvananthapuram,Thiruvananthapuram (C),
346,Thiruvananthapuram,Parasala,
347,Thiruvananthapuram,Karode,
348,Thiruvananthapuram,Anchuthengu,
349,Thiruvananthapuram,Chirayinkeezhu,
350,Thiruvananthapuram,Azhoor,
351,Thiruvananthapuram,Poovachal,
352,Thiruvananthapuram,Vilappil,
353,Thiruvananthapuram,Karumkulam,
354,Thiruvananthapuram,Chenkal,
355,Thiruvananthapuram,Panavoor,
356,Thiruvananthapuram,Kunnathukal,
357,Thiruvananthapuram,Kulathur,
358,Thiruvananthapuram,Perumkadavila,
359,Thiruvananthapuram,Kollayil,
360,Thiruvananthapuram,Nellanad,
361,Thiruvananthapuram,Kallara,
362,Thiruvananthapuram,Vembayam,
363,Thiruvananthapuram,Pangode,
364,Thiruvananthapuram,Neyyattinkara (M),
365,Thiruvananthapuram,Balaramapuram,
366,Thiruvananthapuram,Kilimanoor,
367,Thiruvananthapuram,Peringammala,
368,Thiruvananthapuram,Karakulam,
369,Thiruvananthapuram,Edava,
370,Thiruvananthapuram,Vettoor,
371,Thiruvananthapuram,Vakkom,
372,Thiruvananthapuram,Kadakkavoor,
373,Thiruvananthapuram,Kadinamkulam,
374,Thiruvananthapuram,kottukal,
375,Thiruvananthapuram,Poovar,
376,Thiruvananthapuram,Varkkala (M),
377,Thiruvananthapuram,Nanniyode,
378,Thiruvananthapuram,Kattakkada,
,,,
379,Thiruvananthapuram,Venganoor,
380,Thiruvananthapuram,Kuttiyani,
381,Thiruvananthapuram,Neduveli,
382,Thiruvananthapuram,Pallichal,
383,Thiruvananthapuram,Karavaram,
384,Kasargode,Ajanur,
385,Kasargode,Badiadka,
386,Kasargode,Balal,
387,Kasargode,Bellur,
388,Kasargode,Chemnad,
389,Kasargode,Chengala,
390,Kasargode,Cheruvathur,
391,Kasargode,East Eleri,
392,Kasargode,Enmakaje,
393,Kasargode,Kallar,
394,Kasargode,Kanhangad (M),
395,Kasargode,Karadka,
396,Kasargode,Kasargod (M),
397,Kasargode,Kinanoor Karinthalam,
398,Kasargode,Kodom Belur,
399,Kasargode,Kumbala,
400,Kasargode,Kumbdaje,
401,Kasargode,Kuttikkole,
402,Kasargode,Madhur,
403,Kasargode,Madikkai,
404,Kasargode,Mangalpady,
405,Kasargode,Manjeshwar,
406,Kasargode,Meenja,
407,Kasargode,Mogral Puthur,
408,Kasargode,Nileshwar (M),
409,Kasargode,Padanna,
410,Kasargode,Pallikkara,
411,Kasargode,Panathady,
412,Kasargode,Paivalike,
413,Kasargode,Pilicode,
414,Kasargode,Kayyur Cheemeni,
415,Pathanamthitta,Pathanamthitta (M),
416,Pathanamthitta,Thiruvalla (M),
417,Pathanamthitta,Ezhamkulam,
418,Pathanamthitta,Naranganam,
419,Pathanamthitta,Adoor (M),
420,Pathanamthitta,Ayiroor,
421,Pathanamthitta,Chennerkkara,
,,,
422,Pathanamthitta,Erathu,
423,Pathanamthitta,Pallickal,
424,Pathanamthitta,Ranni Pazhavangadi,
425,Pathanamthitta,Konni,
426,Pathanamthitta,Kalanjoor,
427,Pathanamthitta,Thannithode,
428,Pathanamthitta,Enadhimangalam,
429,Pathanamthitta,Peringara,
430,Pathanamthitta,Eraviproor,
431,Pathanamthitta,Vadasserikkara,
432,Pathanamthitta,Mezhuveli,
433,Idukki,Kanjikuzhy,
434,Idukki,Rajakkad,
435,Idukki,Kanjiryar,
436,Idukki,Vazhathope,
437,Idukki,Mariyapuram,
438,Idukki,Vannapuram,
439,Idukki,Munnar,
440,Idukki,Vathikkudi,
441,Idukki,Kamakshi,
442,Idukki,Kattappana (M),
443,Idukki,Karimkunnam,
444,Idukki,Edavetty,
445,Idukki,Vandanmedu,
446,Idukki,Konnathady,
447,Kottayam,Parathode,
448,Kottayam,Aymanam,
449,Kottayam,Thalayolaparamb,
450,Kottayam,Udayanapuram,
451,Kottayam,Kumarakom,
452,Kottayam,TV puram,
453,Kottayam,Ettumanoor (M),
454,Kottayam,Vechoor,
455,Kottayam,Maravanthuruth,
456,Kottayam,Changanassery (M),
457,Kottayam,Kottayam (M),
458,Kottayam,Vazahppally,
459,Kottayam,Payippad,
460,Kottayam,Thalayazham,
461,Kottayam,Thiruvarpp,
462,Kottayam,Vaikom (M),
463,Kottayam,Kurichi,
464,Kottayam,Madappally,
465,Kottayam,Meenadam,
466,Wayanad,Thirunelli,
,,,
467,Wayanad,Thondarnadu,
468,Wayanad,Mullankolly,
469,Wayanad,Kaniyambatta,
470,Wayanad,Pulpally,
471,Wayanad,Mananthavadi (M),
472,Wayanad,Kalppatta,
473,Wayanad,Edavaka,
474,Wayanad,Vellamunda,
475,Wayanad,Padinjarathara,
476,Wayanad,Thavinjal,
477,Wayanad,Noolppuzha,
478,Wayanad,Nenmeni,
479,Wayanad,Sulthan Batheri (M),
480,Wayanad,Ambalavayal,
481,Malappuram,Ponnani (M),
482,Malappuram,Kondotty (M),
483,Malappuram,Nilambur (M),
484,Malappuram,Peruvallur,
485,Malappuram,Mampad,
486,Malappuram,Pallikkal,
,Kannur -Wards as per Order No.DCKNR/4288/2020/DM.1 dated 27.07.2020,,
,Pathanamthitta,-Wards as per Order No:DCPTA/1185/2020/DM5,
,,LSGs added on 28-07-2020,
Sl.,District,LSGs needing special,
No.,,attention,
1,Kozhikkode,Chathamangalam,
2,Kozhikkode,Kunnummal,
3,Kozhikkode,Faroke (M),
4,Kozhikkode,Cheruvannur,
5,Kozhikkode,Kuttiyadi,
6,Kannur,Payam,
7,Kannur,Padiyoor,
8,Kannur,Udayagiri,
9,Kannur,Malappattam,
10,Kottayam,Madappally,
11,Kottayam,Meenadam,
12,Palakkad,Kottoppadam,
13,Palakkad,Karimba,
14,Thrissur,Kattakambal,
15,Kollam,Kulakkada,
16,Wayanad,Ambalavayal,
17,Pathanamthitta,Mezhuveli,
Sl. No,District,,
,,attention,
1,Alappuzha,Alappuzha (M),
2,Alappuzha,Cheriyanad,
3,Alappuzha,Karuvatta,
4,Alappuzha,Pathiyoor,
5,Alappuzha,Pulincunnoo,
6,Alappuzha,Ala,
7,Alappuzha,Thekkekkara,
8,Alappuzha,Devikulangara,
9,Alappuzha,Ramankari,
10,Malappuram,Perumpadapp,
11,Malappuram,Veliyamkode,
12,Malappuram,Marancheri,
13,Malappuram,Alamkode,
14,Malappuram,Vattamkulam,
15,Malappuram,Edappal,
16,Malappuram,Kaladi,
17,Malappuram,Tanur (M),
18,Pathanamthitta,Kodumon,
19,Pathanamthitta,Kulanada,
20,Pathanamthitta,Kottangal,
21,Ernakulam,Kumbalam,
22,Thrissur,Kunnamkulam (M),25
23,Thrissur,Panjal,
24,Palakkad,Perumatti,
25,Palakkad,Pallassana,
26,Ernakulam,Kumbalam,
Red Colour Coded Coastal LSGs under Intense Lockdown [GO (Ms) No. 23/2020/DMD dated,,,
,,12-7-2020],
Sl. No,District,"LSGs needing special
attention",
1,Thiruvananthapuram,Thiruvananthapuram (C),
2,Kollam,Chavara,
3,Kollam,Panmana,
4,Alappuzha,Pattanakkad,
5,Alappuzha,Kadakkarappally,
6,Alappuzha,Cherthala South,
7,Alappuzha,Mararikulam North,
8,Alappuzha,Kodamthuruth,
9,Alappuzha,Kuthiyathodu,
10,Alappuzha,Thuravoor,
,,,
11,Alappuzha,Arattupuzha,
12,Ernakulam,Chellanam,
13,Malappuram,Veliyamkodu,
14,Malappuram,Perumpadappa,
15,Malappuram,Ponnani (M),
16,Malappuram,Thanur (M),
